,lowest,family
472,Paragorgia,Paragorgiidae
473,Paragorgia arborea,Paragorgiidae
474,Paragorgiidae,Paragorgiidae
475,Sibogagorgia,Paragorgiidae
476,Sibogagorgia cauliflora,Paragorgiidae
477,Alcyoniidae,Alcyoniidae
478,Bathyalcyon robustum,Alcyoniidae
479,Gersemia juliepackardae,Nephtheidae
480,Heteropolypus,Alcyoniidae
481,Heteropolypus ritteri,Alcyoniidae
482,Clavularia,Clavulariidae
483,Stolonifera,Stolonifera
484,Acanthoptilum,Virgulariidae
485,Anthoptilum grandiflorum,Anthoptilidae
486,Anthoptilum lithophilum,Anthoptilidae
487,Distichoptilum,Protoptilidae
488,Distichoptilum gracile,Protoptilidae
489,Funiculina,Funiculinidae
490,Funiculina-Halipteris complex,Funiculinidae
491,Halipteris californica,Balticinidae
492,Kophobelemnidae,Kophobelemnidae
493,Kophobelemnon,Kophobelemnidae
494,Kophobelemnon sp. 1,Kophobelemnidae
495,Pennatula,Pennatulidae
496,Pennatula phosphorea,Pennatulidae
497,Pennatulacea,Pennatulacea
498,Pennatulacea sp. 1,Pennatulacea
499,Pennatulidae,Pennatulidae
500,Protoptilum,Protoptilidae
501,Protoptilum sp. 1,Protoptilidae
502,Ptilosarcus,Pennatulidae
503,Ptilosarcus gurneyi,Pennatulidae
504,Stylatula,Virgulariidae
505,Umbellula,Umbellulidae
506,Umbellula sp. 1,Umbellulidae
507,Umbellula sp. 2,Umbellulidae
508,Umbellulidae,Umbellulidae
509,Virgularia,Virgulariidae
510,Virgulariidae,Virgulariidae
511,Desmophyllum,Caryophylliidae
512,Desmophyllum dianthus,Caryophylliidae
513,Fungiacyathus,Fungiidae
514,Fungiacyathus (Bathyactis) marenzelleri,Fungiidae
515,Scleractinia,Scleractinia
516,Alternatipathes,Schizopathidae
517,Antipatharia,Antipatharia
518,Heteropathes,Cladopathidae
519,Lillipathes,Schizopathidae
520,Parantipathes,Schizopathidae
521,Schizopathidae,Schizopathidae
522,Umbellapathes,Schizopathidae
523,Brachyura,Brachyura
524,Bythograea thermydron,Bythograeidae
525,Cancridae,Cancridae
526,Chionoecetes tanneri,Majidae
527,Chorilia,Majidae
528,Chorilia longipes,Majidae
529,Macroregonia macrochira,Majidae
530,Majidae,Majidae
531,Metacarcinus,Cancridae
532,Metacarcinus magister,Cancridae
533,Moloha faxoni,Homolidae
534,Lithodes couesi,Lithodidae
535,Lithodidae,Lithodidae
536,Lithodoidea,Lithodoidea
537,Neolithodes diomedeae,Lithodidae
538,Paralithodes rathbuni,Lithodidae
539,Paralomis,Lithodidae
540,Paralomis cf. papillata,Lithodidae
541,Paralomis multispina,Lithodidae
542,Paralomis verrilli,Lithodidae
543,Acanthephyra,Oplophoridae
544,Caridea,Caridea
545,Caridea sp. 2,Caridea
546,Eualus,Hippolytidae
547,Eualus macrophthalmus,Hippolytidae
548,Glyphocrangon vicaria,Glyphocrangonidae
549,Heterocarpus sp. 1,Pandalidae
550,Pandalidae,Pandalidae
551,Pandalopsis ampla,Pandalidae
552,Pandalus,Pandalidae
553,Pandalus platyceros,Pandalidae
554,Pasiphaea,Pasiphaeidae
555,Plesionika,Pandalidae
556,Plesionika sp. A,Pandalidae
557,Cerataspis monstrosus,Aristeidae
558,Eusergestes similis,Sergestidae
559,Sergestidae,Sergestidae
560,Sergestoidea,Sergestoidea
561,Calocarides quinqueseriatus,Axiidae
562,Chirostylidae,Chirostylidae
563,Galatheidae,Galatheidae
564,Galatheoidea,Galatheoidea
565,Munida,Munididae
566,Munida bapensis,Munididae
567,Munida quadrispina,Munididae
568,Munida sp. A,Munididae
569,Munididae,Munididae
570,Munidopsidae,Munidopsidae
571,Munidopsis,Munidopsidae
572,Munidopsis depressa,Munidopsidae
573,Munidopsis kensmithi,Munidopsidae
574,Munidopsis lignaria,Munidopsidae
575,Munidopsis recta,Munidopsidae
576,Munidopsis scotti,Munidopsidae
577,Munidopsis sp. 1,Munidopsidae
578,Pleuroncodes planipes,Munididae
579,Cirripedia,Cirripedia
580,Scalpellidae,Scalpellidae
581,Verum proximum,Scalpellidae
582,Colossendeidae,Colossendeidae
583,Colossendeis,Colossendeidae
584,Pycnogonida,Pycnogonida
585,Alciopidae,Alciopidae
586,Anchinothria fissurata,Onuphidae
587,Annelida,Annelida
588,Biremis,Terebellidae
589,Canalipalpata,Canalipalpata
590,Chaetopterus pugaporcinus,Chaetopteridae
591,Ctenophoricola,Phyllodocidae
592,Echiura,Echiura
593,Flabelligeridae,Flabelligeridae
594,Harmothoe,Polynoidae
595,Hirudinea,Hirudinea
596,Lamellibrachia,Siboglinidae
597,Oasisia,Siboglinidae
598,Osedax,Siboglinidae
599,Osedax frankpressi,Siboglinidae
600,Paradiopatra,Onuphidae
601,Peinaleopolynoe orphanae,Polynoidae
602,Phyllochaetopterus gigas,Chaetopteridae
603,Poeobius,Flabelligeridae
604,Poeobius meseres,Flabelligeridae
605,Polychaeta,Polychaeta
606,Polynoidae,Polynoidae
607,Ridgeia,Siboglinidae
608,Riftia pachyptila,Siboglinidae
609,Sabellida,Sabellida
610,Sabellidae,Sabellidae
611,Serpulidae,Serpulidae
612,Siboglinidae,Siboglinidae
613,Terebellidae,Terebellidae
614,Tomopterid eggcase,Tomopteridae
615,Tomopteridae,Tomopteridae
616,Tomopteris,Tomopteridae
617,Tomopteris nisseni,Tomopteridae
