Original,change to,notes
Sebastes mystinus,Sebastes mystinus,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes ovalis,Sebastes ovalis,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes paucispinis,Sebastes paucispinis,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes phillipsi,Sebastes phillipsi,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes pinniger,Sebastes pinniger,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes rosenblatti,Sebastes rosenblatti,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes ruberrimus,Sebastes ruberrimus,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes rubrivinctus,Sebastes rubrivinctus,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes rufus,Sebastes rufus,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes saxicola,Sebastes saxicola,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes semicinctus,Sebastes semicinctus,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes serranoides,Sebastes serranoides,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes simulator,Sebastes simulator,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastes zacentrus,Sebastes zacentrus,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastidae,Sebastidae,I would probably change all to Sebastes unless there are high number of localizations for any spp.
Sebastolobinae,Sebastolobinae,Sebastolobus
Sebastolobus,Sebastolobus,Sebastolobus
Sebastolobus alascanus,Sebastolobus alascanus,Sebastolobus
Sebastolobus altivelis,Sebastolobus altivelis,Sebastolobus
Sebastomus complex,Sebastomus complex,Sebastes
Seriola rivoliana,Delete,
Serranus psittacinus,Delete,
Spectrunculus grandis,Spectrunculus grandis,
Stegastes rectifraenum,Delete,
Stenobrachius leucopsarus,Delete,
Sternoptyx diaphana,Delete,
Sufflamen verres,Delete,
Synodus lacertinus,Delete,
Tactostoma macropus,Delete,
Tarletonbeania,Delete,
Trachipterus altivelis,Delete,
Xeneretmus,Xeneretmus,
Xeneretmus latifrons,Xeneretmus,
Zanclus cornutus,Delete,
Zaniolepis frenata,Zaniolepis frenata,
Zaniolepis latipinnis,Zaniolepis latipinnis,
Anguilliformes,Anguilliformes,
Bathycongrus macrurus,Delete,
Gnathophis cinctus,Delete,
Gymnothorax berndti,Delete,
Leptocephalus-2,Delete,
Muraena argus,Delete,
Nemichthyidae,Delete,
Nettastoma parviceps,Nettastoma parviceps,
Ophichthus frontalis,Ophichthus frontalis,
Serrivomer,Delete,
Synaphobranchidae,Synaphobranchidae,
Eptatretus,Eptatretus,
Eptatretus sinus,Eptatretus,
Bothrocara brunneum,Bothrocara brunneum,
Eucryphycus californicus,Eucryphycus californicus,
Lycenchelys,Lycenchelys,
Lycenchelys crotalinus,Lycenchelys crotalinus,
Lycenchelys sp. 1,Lycenchelys,
Lycodapus,Lycodapus,
Lycodapus fierasfer,Lycodapus,
Lycodapus mandibularis,Lycodapus,
Lycodes,Lycodes,
Lycodes brevipes,Lycodes brevipes,
Lycodes cortezianus,Lycodes cortezianus,
Lycodes diapterus,Lycodes diapterus,
Lycodes pacificus,Lycodes pacificus,
Lycodinae,Lycodes,
Melanostigma pammelas,Delete,
Pachycara,Pachycara bulbiceps,
Pachycara bulbiceps,Pachycara bulbiceps,
Thermarces cerberus,Delete,
Zoarcidae,Zoarcidae,
Aeolidiidae sp. 1,Aeolidiidae sp. 1,
Akoya,Akoya platinum,
Akoya platinum,Akoya platinum,
Bathybembix,Bathybembix,
Bathydoris aioca,Bathydoris aioca,
Buccinidae,Buccinidae,
Caenogastropoda,Caenogastropoda,
Calliostoma,Akoya platinum,
Carinaria japonica,Delete,
Clio,Delete,
Corolla spectabilis,Delete,
Dendronotus patricki,Dendronotus patricki,
Gastropoda,Gastropoda,
Heterobranchia,Delete,
Neogastropoda,Gastropoda,
Neptunea,Neptunea-Buccinum Complex,
Neptunea amianta,Neptunea-Buccinum Complex,
Neptunea-Buccinum Complex,Neptunea-Buccinum Complex,
Nudibranchia,Nudibranchia,
Patellogastropoda,Patellogastropoda,
Pleurobranchaea,Pleurobranchaea californica,
Pleurobranchaea californica,Pleurobranchaea californica,
Provannidae,Gastropoda,
Pteropoda,Delete,
Retimohnia sp. A,Gastropoda,
Rubyspira,Gastropoda,
Rubyspira osteovora,Gastropoda,
Tenebrincola cukri,Gastropoda,
Thecosomata,Delete,
Thliptodon,Delete,
Tritonia,Tritonia tetraquetra,
Tritonia tetraquetra,Tritonia tetraquetra,
Ziminella vrijenhoeki,Ziminella vrijenhoeki,
Asteriidae,Asteroidea,
Asteroidea,Asteroidea,
Asteroidea sp. 1,Asteroidea,
Asthenactis,Asthenactis,
Asthenactis fisheri,Asthenactis,
Asthenactis papyraceus,Asthenactis,
Astropecten,Astropecten,
Benthopecten,Benthopecten,
Benthopecten claviger,Benthopecten,
Benthopectinidae,Benthopecten,
Ceramaster,Ceramaster,
Crossaster,Crossaster,
Crossaster borealis,Crossaster,
Dipsacaster,Dipsacaster eximius,
Dipsacaster eximius,Dipsacaster eximius,
Dytaster gilberti,Dytaster gilberti,
Forcipulatacea,Forcipulatida,
Forcipulatida,Forcipulatida,
Goniasteridae,Goniasteridae,
Henricia,Henricia,
Heterozonias alternatus,Solasteridae,
Hippasteria,Hippasteria,
Hippasteria californica,Hippasteria,
Hippasteria lepidonotus,Hippasteria,
Hymenaster,Hymenaster,
Hymenaster koehleri,Hymenaster,
Lophaster,Lophaster,
Lophaster furcilliger,Lophaster,
Luidia foliolata,Luidia foliolata,
Mediaster,Mediaster,
Mediaster aequalis,Mediaster aequalis,
Mediaster tenellus,Mediaster tenellus,
Myxoderma,Myxoderma,
Myxoderma platyacanthum,Myxoderma platyacanthum,
Myxoderma sacculatum,Myxoderma sacculatum,
Patiria miniata,Patiria miniata,
Paulasterias mcclaini,Paulasterias mcclaini,
Paxillosida,Paxillosida,
Peribolaster biserialis,Peribolaster biserialis,
Poraniopsis,Poraniopsis,
Poraniopsis inflata,Poraniopsis inflata,
Pteraster,Pterasteridae,
Pterasteridae,Pterasteridae,
Pycnopodia helianthoides,Pycnopodia helianthoides,
Pythonaster,Pythonaster pacificus,
Pythonaster pacificus,Pythonaster pacificus,
Rathbunaster,Rathbunaster californicus,
Rathbunaster californicus,Rathbunaster californicus,
Solaster,Solasteridae,
Solaster hypothrissus,Solasteridae,
Solasteridae,Solasteridae,
Stylasterias,Stylasterias forreri,
Stylasterias forreri,Stylasterias forreri,
Thrissacanthias penicillatus,Thrissacanthias penicillatus,
Valvatida,Valvatida,
Zoroaster spinulosus,Zoroasteridae,
Zoroasteridae,Zoroasteridae,
Antedonidae,Antedonidae,
Antedonoidea,Antedonidae,
Antedonoidea sp. 1,Antedonidae,
Articulata,Crinoidea,
Bathycrinidae,Bathycrinidae,
Bathycrinus complanatus,Bathycrinidae,
Bathymetrinae,Bathymetrinae,
Comatulida,Crinoidea,
Crinoidea,Crinoidea,
Fariometra,Crinoidea,
Fariometra parvula,Crinoidea,
Florometra serratissima,Crinoidea,
Hyocrinida,Hyocrinidae,
Hyocrinidae,Hyocrinidae,
Pentametrocrinus paucispinulus,Pentametrocrinus paucispinulus,
Psathyrometra,Crinoidea,
Psathyrometra fragilis,Crinoidea,
Tonrometra,Crinoidea,
Abyssocucumis abyssorum,Abyssocucumis abyssorum,
Apostichopus,Apostichopus,
Apostichopus californicus,Apostichopus californicus,
Apostichopus leukothele,Apostichopus leukothele,
Benthodytes,Benthodytes,
Benthodytes sp. 1,Benthodytes,
Benthothuria,Benthothuria,
Elpidia,Elpidia,
Elpidia sp. A,Elpidia,
Holothuria (Vaneyothuria) zacae,Holothuria (Vaneyothuria) zacae,
Holothuroidea,Holothuroidea,
Holothuroidea sp. 3,Holothuroidea,
Holothuroidea sp. 4,Holothuroidea,
Holothuroidea sp. 6,Holothuroidea,
Laetmogone,Laetmogone,
Laetmogone wyvillethomsoni,Laetmogone,
Laetmogonidae,Laetmogone,
Oneirophanta,Oneirophanta mutabilis complex,
Oneirophanta mutabilis complex,Oneirophanta mutabilis complex,
Paelopatides,Paelopatides confundens,
Paelopatides confundens,Paelopatides confundens,
Pannychia,Pannychia,
Pannychia moseleyi,Pannychia,
Pannychia sp. 1,Pannychia,
Peniagone,Peniagone,
Peniagone gracilis,Peniagone,
Peniagone papillata,Peniagone,
Peniagone sp. 1,Peniagone,
Peniagone sp. 2,Peniagone,
Peniagone sp. A,Peniagone,
Peniagone vitrea,Peniagone,
Peniagone vitrea- sp. 1 complex,Peniagone,
Pseudostichopus mollis,Pseudostichopus mollis,
Psolidae,Psolidae,
Psolus,Psolus squamatus,
Psolus squamatus,Psolus squamatus,
Psychronaetes,Psychronaetes,
Psychropotes depressa,Psychropotes depressa,
Psychropotes sp. 1,Psychropotidae,
Psychropotidae,Psychropotidae,
Scotoplanes,Scotoplanes,
Scotoplanes clarki,Scotoplanes,
Scotoplanes globosa,Scotoplanes,
Scotoplanes sp. A,Scotoplanes,
Synallactes,Synallactes,
Synallactidae,Synallactes,
Synallactidae gen. et sp. indet.,Synallactes,
Aporocidaris milleri,Aporocidaris milleri,
Brisaster,Brisaster,
Cystechinus giganteus,Cystechinus giganteus,
Cystechinus loveni,Cystechinus loveni,
Cystocrepis setigera,Cystocrepis setigera,
Echinidea,Echinoidea,
Echinocrepis rostrata,Echinocrepis rostrata,
Echinoidea,Echinoidea,
Echinothuriidae,Echinothuriidae,
Strongylocentrotus,Strongylocentrotus fragilis,
Strongylocentrotus fragilis,Strongylocentrotus fragilis,
Tromikosoma,Tromikosoma,
Tromikosoma panamense,Tromikosoma,
Acanthascinae,Acanthascinae,
Acanthascinae sp. 1-4 complex,Acanthascinae,
Acanthascinae sp. 2,Acanthascinae,
Acanthascinae sp. 4,Acanthascinae,
Bathydorus,Bathydorus,
Bathydorus laevis pseudospinosus,Bathydorus,
Bathydorus laniger,Bathydorus,
Bathydorus sp. 1,Bathydorus,
Bolosominae,Bolosominae,
Caulophacus,Caulophacus,
Chonelasma,Chonelasma,
Chonelasmatinae sp. 1,Chonelasma,
Corbitellinae,Corbitellinae,
Dictyocalyx,Dictyocalyx,
Docosaccus maculatus,Docosaccus maculatus,
Euplectellidae,Euplectellidae,
Farrea,Farrea,
Farrea occa,Farrea,
Farrea truncata complex,Farrea truncata complex,
Farreidae,Farrea,
Heterochone,Heterochone calyx,
Heterochone calyx,Heterochone calyx,
Hexactinella,Hexactinellida,
Hexactinellida,Hexactinellida,
Hexactinellida sp. 1,Hexactinellida,
Hexactinellida sp. 2,Hexactinellida,
Hexactinellida sp. 3,Hexactinellida,
Hexactinellida sp. 4,Hexactinellida,
Hexactinellida sp. 5,Hexactinellida,
Hexactinellida sp. 6,Hexactinellida,
Hyalonema,Hyalonema,
Hyalonema (Corynonema) populiferum,Hyalonema (Corynonema) populiferum,
Hyalonema (Oonema) bianchoratum,Hyalonema (Oonema) bianchoratum,
Hyalonema sp. 1,Hyalonema,
Hyalonematidae,Hyalonema,
Lyssacinosida sp. 1,Lyssacinosida sp. 1,
Regadrella,Regadrella,
Rossellidae,Rossellidae,
Sclerothamnopsis,Sclerothamnopsis,
Staurocalyptus,Staurocalyptus,
Staurocalyptus solidus,Staurocalyptus solidus,
yellow ruffled sponge,yellow ruffled sponge,
Calyptrophora,Calyptrophora,
Chrysogorgia,Chrysogorgia,
Chrysogorgia monticola,Chrysogorgia monticola,
Chrysogorgia pinnata,Chrysogorgia pinnata,
Chrysogorgiidae,Chrysogorgia,
Iridogorgia,Iridogorgia,
Isidella,Isidella,
Isidella tentaculum,Isidella tentaculum,
Isididae,Isididae,
Keratoisis,Keratoisis,
Lepidisis,Lepidisis,
Parastenella,Parastenella,
Primnoidae,Primnoidae,
Acanthogorgia,Acanthogorgia,
Gorgoniidae,Gorgoniidae,
Leptogorgia,Leptogorgia,
Plexauridae,Plexauridae,
Swiftia,Swiftia,
Swiftia kofoidi,Swiftia kofoidi,
Swiftia simplex,Swiftia simplex,
Corallium,Corallium,
Paragorgia,Paragorgiidae,
Paragorgia arborea,Paragorgia arborea,
Paragorgiidae,Paragorgiidae,
Sibogagorgia,Paragorgiidae,
Sibogagorgia cauliflora,Paragorgiidae,
Alcyoniidae,Alcyoniidae,
Bathyalcyon robustum,Bathyalcyon robustum,
Gersemia juliepackardae,Gersemia juliepackardae,
Heteropolypus,Heteropolypus,
Heteropolypus ritteri,Heteropolypus ritteri,
Clavularia,Clavularia,
Stolonifera,Stolonifera,
Acanthoptilum,Acanthoptilum,
Anthoptilum grandiflorum,Anthoptilum grandiflorum,
Anthoptilum lithophilum,Anthoptilum lithophilum,
Distichoptilum,Distichoptilum gracile,
Distichoptilum gracile,Distichoptilum gracile,
Funiculina,Funiculina,
Funiculina-Halipteris complex,Funiculina-Halipteris complex,
Halipteris californica,Halipteris californica,
Kophobelemnidae,Kophobelemnidae,
Kophobelemnon,Kophobelemnidae,
Kophobelemnon sp. 1,Kophobelemnidae,
Pennatula,Pennatula,
Pennatula phosphorea,Pennatula phosphorea,
Pennatulacea,Pennatulacea,
Pennatulacea sp. 1,Pennatulacea,
Pennatulidae,Pennatulacea,
Protoptilum,Protoptilum,
Protoptilum sp. 1,Protoptilum,
Ptilosarcus,Ptilosarcus gurneyi,
Ptilosarcus gurneyi,Ptilosarcus gurneyi,
Stylatula,Stylatula,
Umbellula,Umbellula,
Umbellula sp. 1,Umbellula,
Umbellula sp. 2,Umbellula,
Umbellulidae,Umbellula,
Virgularia,Virgulariidae,
Virgulariidae,Virgulariidae,
Desmophyllum,Desmophyllum dianthus,
Desmophyllum dianthus,Desmophyllum dianthus,
Fungiacyathus,Fungiacyathus (Bathyactis) marenzelleri,
Fungiacyathus (Bathyactis) marenzelleri,Fungiacyathus (Bathyactis) marenzelleri,
Scleractinia,Scleractinia,
Alternatipathes,Alternatipathes,
Antipatharia,Antipatharia,
Heteropathes,Heteropathes,
Lillipathes,Lillipathes,
Parantipathes,Parantipathes,
Schizopathidae,Schizopathidae,
Umbellapathes,Umbellapathes,
Brachyura,Brachyura,
Bythograea thermydron,Delete,
Cancridae,Cancridae,
Chionoecetes tanneri,Chionoecetes tanneri,
Chorilia,Chorilia longipes,
Chorilia longipes,Chorilia longipes,
Macroregonia macrochira,Macroregonia macrochira,
Majidae,Majidae,
Metacarcinus,Metacarcinus magister,
Metacarcinus magister,Metacarcinus magister,
Moloha faxoni,Delete,
Lithodes couesi,Lithodes couesi,
Lithodidae,Lithodidae,
Lithodoidea,Lithodidae,
Neolithodes diomedeae,Neolithodes diomedeae,
Paralithodes rathbuni,Paralithodes rathbuni,
Paralomis,Paralomis,
Paralomis cf. papillata,Paralomis cf. papillata,
Paralomis multispina,Paralomis multispina,
Paralomis verrilli,Paralomis verrilli,
Acanthephyra,Delete,
Caridea,Caridea,
Caridea sp. 2,Caridea,
Eualus,Eualus macrophthalmus,
Eualus macrophthalmus,Eualus macrophthalmus,
Glyphocrangon vicaria,Delete,
Heterocarpus sp. 1,Delete,
Pandalidae,Pandalus,
Pandalopsis ampla,Pandalus ampla,
Pandalus,Pandalus,
